AgencyORI,AgencyLongName,CountyName,ReportingYear,Unf_Murder,Unf_Rape,Unf_Robbery,Unf_AggAssault,Unf_HumanTraff,Unf_Burglary,Unf_Larceny,Unf_MotorVehTheft,Unf_Arson,Actual_Murder,Actual_Rape,Actual_Robbery,Actual_AggAssault,Actual_HumanTraff,Actual_Burglary,Actual_Larceny,Actual_MotorVehTheft,Actual_Arson,Cleared_Murder,Cleared_Rape,Cleared_Robbery,Cleared_AggAssault,Cleared_HumanTraff,Cleared_Burglary,Cleared_Larceny,Cleared_MotorVehTheft,Cleared_Arson
MNMHP0700,MN State Patrol District 2800 - Brainerd,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP0800,MN State Patrol District 2900 - Detroit Lakes,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP0900,MN State Patrol District 3200 - Thief River Falls,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP1000,MN State Patrol District 3100 - Virginia,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP1100,MN State Patrol District 2700 - Duluth,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP1200,MN State Patrol District 2200 - Mankato,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP1300,MN State Patrol District 4600 - Capitol Security,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,41,0,0,0,0,0,10,0,0,34,0,0
MN0010000,Aitkin County Sheriff,Aitkin,2011,0,1,0,4,0,5,9,0,0,0,7,0,102,0,140,237,31,4,0,5,0,85,0,26,60,17,3
MN0020000,Anoka County Sheriff,Anoka,2011,0,3,0,8,0,2,27,8,0,2,32,2,366,0,301,1293,75,6,1,5,0,322,0,35,268,16,2
MN0020100,Anoka Police Dept,Anoka,2011,0,0,0,0,0,0,0,0,0,0,10,17,232,0,113,727,36,1,0,1,6,178,0,13,55,3,0
MN0020200,Blaine Police Dept,Anoka,2011,0,0,2,8,0,1,15,5,0,0,7,15,324,0,194,1705,52,10,0,6,8,222,0,28,608,10,3
MN0020300,Centennial Lakes Police Dept,Anoka,2011,0,0,0,0,0,0,1,1,0,0,0,0,47,0,26,159,5,0,0,0,0,32,0,7,23,0,0
MN0020400,Columbia Heights Police Dept,Anoka,2011,0,0,0,1,0,1,5,0,0,0,9,18,175,0,114,417,25,4,0,2,10,133,0,12,86,7,0
MN0020500,Coon Rapids Police Dept,Anoka,2011,0,0,1,3,0,3,35,9,0,2,37,16,320,0,255,2349,57,13,2,4,12,257,0,45,533,19,6
MN0020600,Fridley Police Dept,Anoka,2011,0,2,0,3,0,1,5,3,0,0,28,29,219,0,181,1026,60,2,0,8,10,145,0,21,288,10,1
MN0020700,Lino Lakes Police Dept,Anoka,2011,0,0,0,2,0,1,1,3,0,0,1,0,72,0,40,168,7,3,0,1,0,69,0,9,47,3,2
MN0020800,Spring Lake Park Police Dept,Anoka,2011,0,0,0,0,0,0,0,0,0,0,3,4,89,0,38,272,16,2,0,0,0,34,0,3,30,6,1
MN0021300,Ramsey Police Dept,Anoka,2011,0,0,0,7,0,2,26,5,0,0,7,4,109,0,53,473,13,1,0,7,0,102,0,10,111,5,0
MN002140X,Hilltop Police Dept,Anoka,2011,0,0,0,0,0,0,1,0,0,0,2,3,36,0,10,49,4,0,0,1,1,32,0,0,10,0,0
MN0021500,St Francis Police Dept,Anoka,2011,0,0,0,0,0,0,0,0,0,0,9,0,38,0,18,108,7,4,0,4,0,33,0,5,32,2,0
MN0030000,Becker County Sheriff,Becker,2011,0,0,0,0,0,1,1,1,0,0,2,1,77,0,36,63,14,3,0,1,0,48,0,8,13,5,0
MN0030100,Detroit Lakes Police Dept,Becker,2011,0,0,0,1,0,1,5,2,0,0,2,2,64,0,27,371,9,0,0,1,0,48,0,4,164,3,0
MN0040000,Beltrami County Sheriff,Beltrami,2011,0,0,0,5,0,2,18,0,0,0,12,1,315,0,135,269,20,3,0,4,1,204,0,20,48,11,1
MN0040100,Bemidji Police Dept,Beltrami,2011,0,1,1,3,0,1,22,3,0,0,21,6,319,0,104,941,40,0,0,11,3,173,0,24,361,13,0
